건물형태, 군구분,부대구분(관리부대),단지명,시도,시군구,읍면동,리,준공연도,공급세대,면적(15)50이하,면적(24)80이하,면적(30)100이하,면적(36)120이하,면적확인불가
아파트,육군,6군단,송우주공아파트,경기도,포천시,자작동,,2005,22,,,8,14,
아파트,육군,6군단,포미재아파트,경기도,포천시,신북면,,2004,23,,,23,,
아파트,육군,6군단,푸르미 아르미소,경기도,포천시,소흘읍,이동교리,2011,160,,,20,136,4
아파트,육군,7군단,동원베네스트 상승빌리지,경기도,이천시,장호원읍,이황리,2013,220,,,136,80,4
아파트,육군,7군단,송전아파트,경기도,이천시,장호원읍,진암리,2007,60,,60,,,
아파트,육군,7군단,도하빌리지,경기도,이천시,설성면,자석리,2011,82,,8,66,8,
아파트,육군,7군단,동남아파트,경기도,여주시,가남읍,신해리,1998,20,,20,,,
아파트,육군,8기동사단,포천 한우리아파트,경기도,포천시,신북면,심곡리,2013,72,,72,,,
아파트,육군,8기동사단,백석 해와달 아파트,경기도 ,양주시,백석읍,방성리,1983,120,,120,,,
아파트,육군,8기동사단,삼숭동 GS자이,경기도,양주시,삼숭동,,2005,3,,,2,1,
아파트,육군,8기동사단,지행주공아파트,경기도,동두천시,지행동,,1999,19,,,19,,
아파트,육군,8기동사단,천보아파트 3동,경기도,양주시,율정동,,1994,30,,30,,,
아파트,육군,8기동사단,덕계 범양마더빌 매입아파트,경기도,양주시,덕계동,,2009,9,,,,9,
아파트,육군,8기동사단,포천산호아파트,경기도,포천시,신북면,기지리,1999,22,,22,,,
아파트,육군,8기동사단,덕정주공 매입아파트,경기도,양주시,덕정동,,2000,159,,27,132,,
아파트,육군,8기동사단,독수리아파트,경기도,양주시,봉양동,,1993,8,,8,,,
아파트,육군,8기동사단,드림 아인스빌,경기도,동두천시,상패동,,2020,156,,,156,,
아파트,육군,11기동사단,삼호아파트,강원도,홍천군,홍천읍,하오안리,2000,55,,55,,,
아파트,육군,11기동사단,스무빌아파트,경기도,양평군,용문면,용문로,2016,392,,98,249,45,
아파트,육군,11기동사단,신아아파트,강원도,홍천군,홍천읍,희망리,2000,62,,62,,,
아파트,육군,11기동사단,청솔아파트,강원도,홍천군,홍천읍,연봉리,2000,182,,182,,,
아파트,육군,11기동사단,충정아파트,경기도,양평군,양평읍,창대리,1985,77,,77,,,
아파트,육군,11기동사단,조은아파트,경기도,여주시,대신면,초현리,1998,30,,30,,,
아파트,육군,11기동사단,현대아파트,강원도,홍천군,홍천읍,연봉리,2003,1,,,1,,
아파트,육군,11기동사단,화랑마을아파트,강원도,홍천군,남면,가작골길,2012,250,,30,190,30,
아파트,육군,11기동사단,화랑아파트(7동),강원도,홍천군,홍천읍,연봉리,1995,30,,30,,,
아파트,육군,11기동사단,화랑아파트(8동),강원도,홍천군,홍천읍,연봉리,1998,30,,30,,,
